Manual,LANG ID,Status
CvPcb, fr, 7 translated; 226 untranslated
CvPcb, it, 233 translated
CvPcb, pl, 233 translated
Eeschema, it, 139 translated; 1 fuzzy; 1194 untranslated
GerbView, it, 43 translated; 360 untranslated
Getting_Started_in_KiCad, it, 39 translated; 259 untranslated
IDF_Exporter, it, 18 translated; 78 untranslated
Interactive_Router, it, 7 translated; 45 untranslated
Interactive_Router, pl, 38 translated; 14 untranslated
KiCad, it, 118 translated
KiCad, pl, 118 translated
Pcbnew, fr, 7 translated; 1 fuzzy; 587 untranslated
Pcbnew, it, 67 translated; 995 untranslated
Pl_Editor, fr, 5 translated; 2 fuzzys; 225 untranslated
Pl_Editor, it, 43 translated; 189 untranslated
